Language,Folder,Filename,TTR,HL,MSL,FWF,HER,PVU,FK,PU,IIR,Gender
ES,ES-His,18.pdf,0.6997929606625258,0.663216011042098,65.86363636363636,0.008678881388621022,0.0,0.0,-917.3706281761715,0.8281573498964804,,M
ES,ES-His,19.pdf,0.7690058479532164,0.7412280701754386,54.72,0.0,0.0,0.0,-800.0229052631578,0.14619883040935672,,M
ES,ES-His,20.pdf,0.3266414141414141,0.23434343434343435,28.285714285714285,0.41710610932475883,0.0014147909967845659,0.21785714285714286,5.902045454545458,5.277777777777778,,M
ES,ES-His,21.pdf,0.7075048107761386,0.6645285439384221,27.350877192982455,0.05418250950570342,0.0,0.0,-703.4468587601139,0.5772931366260423,,M
ES,ES-His,22.pdf,0.8080614203454894,0.7763915547024952,61.294117647058826,0.0077348066298342545,0.0,0.0,-1152.8762261488087,0.6717850287907869,,M
ES,ES-His,23.pdf,0.25620290387796363,0.16164308031611835,26.34866828087167,0.44032692486300734,0.0006501346707532275,0.21549636803874092,16.721831340201078,5.899650799485389,,M
ES,ES-His,24.pdf,0.688050930460333,0.6214495592556317,11.941520467836257,0.1064991807755325,0.0,0.017543859649122806,-458.9262896999272,1.2242899118511263,,M
ES,ES-His,25.pdf,0.29309376754632227,0.20673778775968557,22.601522842639593,0.42961672473867596,0.0027874564459930314,0.2563451776649746,7.05622859883087,7.355418304323413,,M
ES,ES-Psy,1.pdf,0.2632189623736118,0.16326868887783855,23.56640625,0.33746268656716416,0.0007462686567164179,0.15625,4.1514974573439645,3.3482512846013592,,F
ES,ES-Psy,2.pdf,0.2184013918739126,0.1236311534131614,22.156462585034014,0.2829327370970747,0.0001863238308179616,0.12471655328798185,17.64843180256446,1.883123528809743,,F
ES,ES-Psy,3.pdf,0.23831697987693332,0.13836687177781473,21.475,0.31564748201438847,0.0004496402877697842,0.21785714285714286,15.035912585232012,3.442541160818227,,M
ES,ES-Psy,4.pdf,0.2364381956649092,0.14551845342706501,24.110169491525422,0.34764265372850967,0.0,0.3418079096045198,16.563037368562192,5.705916813122437,,M
ES,ES-Psy,5.pdf,0.26865671641791045,0.15984960692719608,21.40731707317073,0.30334534225424603,0.0006176016469377251,0.275609756097561,10.67268915569241,2.8483536515893815,,F
ES,ES-Psy,6.pdf,0.23364297253634894,0.14226575121163165,22.306306306306308,0.3567224572374471,0.0007356998344675372,0.13288288288288289,7.4258842364173745,3.291599353796446,,F
ES,ES-Psy,7.pdf,0.2410381184103812,0.1245742092457421,17.71551724137931,0.014661921708185054,0.0,0.0,40.70426094890513,0.43795620437956206,,F
ES,ES-Psy,8.pdf,0.297367848596911,0.1820752664781379,20.990867579908677,0.2316488380671339,0.0007377351530800443,0.1735159817351598,18.48245626738901,2.675658037850772,,M
ES,ES-Psy,9.pdf,0.2241423125794155,0.12846251588310037,20.930851063829788,0.3245278899683441,0.0025106429429101627,0.25,16.529932040606667,4.472681067344346,,F
ES,ES-Psy,10.pdf,0.277175222945288,0.17064352856109907,20.64179104477612,0.3386023294509151,0.00041597337770382697,0.19402985074626866,16.64280117848938,2.940467582550012,,F
ES,ES-Psy,11.pdf,0.3746262281076463,0.24861170439982913,14.36196319018405,0.2908759124087591,0.000364963503649635,0.17791411042944785,16.263587712240877,3.460059803502777,,F
ES,ES-Psy,12.pdf,0.2753077975376197,0.14979480164158687,21.659259259259258,0.017942583732057416,0.0,0.0,37.8713716876932,0.08549931600547195,,M
ES,ES-Psy,13.pdf,0.28909119948889955,0.17089921737741576,20.067307692307693,0.03189467969598263,0.0,0.003205128205128205,50.06083698076003,0.2076345631688229,,F
ES,ES-Psy,14.pdf,0.2972623966942149,0.1828512396694215,27.75627240143369,0.027324862251208816,0.0,0.007168458781362007,34.18472338857788,0.47778925619834706,,M
ES,ES-Psy,15.pdf,0.27368558042686103,0.17373763664757938,26.047457627118643,0.3175750834260289,0.0004449388209121246,0.20677966101694914,8.752634777084694,3.839146277980219,,M
ES,ES-Psy,16.pdf,0.3090140100449379,0.20856463124504362,21.617142857142856,0.30523055746730904,0.0008029364533149805,0.17142857142857143,14.10581252973833,3.330689928628073,,M
ES,ES-Psy,17.pdf,0.2668629925676623,0.168419576496985,22.145962732919255,0.29878493317132443,0.001215066828675577,0.15217391304347827,26.368038402443744,3.281447202355911,,M
ES,ES-Psy,18.pdf,0.29259210001329966,0.1871259475994148,19.73490813648294,0.3202183306800091,0.0003411416875142142,0.15748031496062992,24.309959982392826,3.64410160925655,,M
ES,ES-Psy,19.pdf,0.3433978311715926,0.23006591537316606,21.77314814814815,0.30522306855277476,0.00018135654697134566,0.1712962962962963,18.467383058292228,3.402083776312992,,M
ES,ES-Psy,20.pdf,0.3292479951581177,0.22166742321077318,17.301047120418847,0.3046125939362529,0.00038870173620108835,0.17539267015706805,26.526003219075363,4.5392646391284615,,M
ES,ES-Psy,21.pdf,0.326946847960445,0.19468479604449937,17.03157894736842,0.029768177028451002,0.0,0.005263157894736842,29.027551818359257,0.40173053152039556,,F
ES,ES-Psy,22.pdf,0.22796321173917536,0.12555544073576522,21.175054704595187,0.030409991854466467,0.0,0.0,48.06948698542803,0.42368502635114186,,M
ES,ES-Psy,23.pdf,0.2963531669865643,0.190595009596929,14.119241192411923,0.3446576306988206,0.0007041013906002464,0.14092140921409213,22.73564005534493,4.145873320537428,,M
ES,ES-Psy,24.pdf,0.29543264598188473,0.19464251300828675,16.95751633986928,0.3728902953586498,0.0005274261603375527,0.20261437908496732,11.896275665466334,4.374638658701099,,F
ES,ES-Psy,25.pdf,0.27828348504551365,0.17672301690507153,15.01953125,0.3564438155877845,0.0012970168612191958,0.166015625,13.93017578125,4.850455136540963,,M
FR,FR-His,1.pdf,0.27753934191702434,0.1771101573676681,28.18548387096774,0.07020238525478859,0.00018070112034694616,0.010752688172043012,32.69214159628967,4.339532665712923,,F
FR,FR-His,2.pdf,0.2426840082766775,0.15646861759779288,23.01360544217687,0.3081749049429658,0.0008555133079847909,0.03854875283446712,43.27642695269063,2.6997733766873586,,M
FR,FR-His,3.pdf,0.30784147376075627,0.20845958065689008,20.423267326732674,0.03119682359614294,0.0,0.0024752475247524753,37.64781488382451,3.7086413768028117,,F
FR,FR-His,4.pdf,0.2134927412467976,0.1274745749553606,24.121722846441948,0.2876571344556348,0.0005881055649489083,0.1104868913857678,51.09370734688346,4.94526822451673,,F
FR,FR-His,5.pdf,0.2924473067915691,0.1881342701014832,26.54922279792746,0.03327621967715754,0.0,0.0,39.75434213879217,4.186182669789227,,F
FR,FR-His,6.pdf,0.28957691230036425,0.1922107032782292,22.167701863354036,0.3288090485695276,0.0002661343978709248,0.049689440993788817,56.05994371825017,4.048753152143457,,F
FR,FR-His,7.pdf,0.2803306588864576,0.1885485047410649,19.492890995260662,0.3251618871415356,0.0008094357076780758,0.05687203791469194,57.60945305775357,4.643812302455628,,F
FR,FR-His,8.pdf,0.29525691699604745,0.18972332015810275,19.1183879093199,0.03648843930635838,0.0,0.0,48.24667421670438,3.491436100131752,,F
FR,FR-His,9.pdf,0.2834184626884266,0.18612183879407002,20.84935064935065,0.22802101576182138,0.0010507880910683013,0.04415584415584416,45.06638112280146,3.8245920019932726,,M
FR,FR-His,10.pdf,0.2715706346885054,0.17739105001462416,20.351190476190474,0.33825617722238,0.0007100255609201931,0.07738095238095238,61.57974084771379,4.884469143024276,,F
FR,FR-His,11.pdf,0.2745426149040607,0.18328871039714414,25.982608695652175,0.3590405507152845,0.002904162633107454,0.09855072463768116,47.32429876025844,5.633645693886658,,F
FR,FR-His,12.pdf,0.2559391456992393,0.1684025746050322,17.09,0.3357566267755285,0.0006710658763001902,0.064,56.85129482153306,4.119368051492101,,M
FR,FR-His,13.pdf,0.3302591826999523,0.225314040387979,22.30141843971631,0.28188228080931943,0.001072961373390558,0.06028368794326241,47.28400224584411,3.005247257115599,,F
FR,FR-His,14.pdf,0.32527081169312955,0.2221397833506455,27.2834008097166,0.2688111095366303,0.0005668130933824571,0.08097165991902834,42.34368368785721,2.71553642973735,,F
FR,FR-His,15.pdf,0.26561771561771563,0.1745920745920746,30.211267605633804,0.3000554631170272,0.0024403771491957847,0.056338028169014086,41.86559834531667,4.393939393939394,,F
FR,FR-His,16.pdf,0.23354450767744014,0.14710619564050254,30.13915857605178,0.29484683946316975,0.0003073455588566745,0.05501618122977346,36.63058965144941,2.126060345753248,,M
FR,FR-His,17.pdf,0.2449601662625563,0.14631104953238655,31.244588744588743,0.036209749268168515,0.0,0.0,29.558167779282286,4.773120886733633,,F
FR,FR-His,18.pdf,0.27125024767188427,0.17852189419457104,21.385593220338983,0.3165426984276433,0.00310705206666039,0.057203389830508475,55.337103166673955,4.378838914206459,,M
FR,FR-His,19.pdf,0.26912986445124615,0.18091386095321382,16.602540834845733,0.291214006961291,0.0013711633793903597,0.07622504537205081,63.49957758957957,3.9680804547442063,,M
FR,FR-His,20.pdf,0.34842939920707533,0.24275693809088136,25.71764705882353,0.0378127635648018,0.0,0.0,29.385568107206296,3.09545593168649,,F
FR,FR-His,21.pdf,0.2925123422929238,0.17718047174986287,17.656174334140434,0.08588734100545124,0.0,0.007263922518159807,56.38713170690892,4.360943499725726,,M
FR,FR-His,22.pdf,0.22500465462669894,0.12781604915285794,19.855822550831792,0.03497787795308457,0.0,0.0,51.535557202695,3.2023831688698565,,F
FR,FR-His,23.pdf,0.25007940709370036,0.1598729486500794,21.56392694063927,0.32334466069405826,0.0008238080527237154,0.0319634703196347,47.89471844323424,2.3186871360508206,,M
FR,FR-His,24.pdf,0.24297407912687585,0.15320600272851295,30.928270042194093,0.32991587802313355,0.0007886435331230284,0.06329113924050633,42.09104601631353,3.383356070941337,,M
FR,FR-His,25.pdf,0.2748589219692547,0.185736524615684,18.92817679558011,0.33910453318439915,0.0026063483198361724,0.06445672191528545,62.9123926715755,6.820393072582215,,F
FR,FR-Psy,1.pdf,0.2361344537815126,0.13683473389355744,13.574144486692015,0.2556532663316583,0.0016331658291457286,0.022813688212927757,46.73715931239417,3.515406162464986,,M
FR,FR-Psy,2.pdf,0.2532188841201717,0.1521030042918455,20.017182130584192,0.28417442430181283,0.0013065490772497142,0.07903780068728522,40.206761854195264,3.227467811158798,,M
FR,FR-Psy,3.pdf,0.2640755539411551,0.1505630221576462,15.002724795640328,0.24698297239213093,0.0024797487187964953,0.04904632152588556,49.55728881844033,2.3973846712677083,,M
